Residential Block,Distance to Freiham S-bhan,Distance to Freiham U-bhan,Distance to Aubing S-bhan,Assgin Freiham S-bhan,Assgin Freiham U-bhan,Assgin Freiham U-bhan.1,Block_x,Block_y,Freiham_S-bhan_X,Freiham_S-bhan_y,Freiham_U-bhan_X,Freiham_U-bhan_y,Aubing_S-bhan_X,Aubing_S-bhan_y
R,1589.9449676010802,735.1421631222087,605.9909240244444,,,X,-150,620,545,-810,65,-83,390,895
S,1511.662991542758,686.086000440178,489.004089962446,,,X,0,600,545,-810,65,-83,390,895
T,1452.0674915443842,665.7093960580697,411.6430492550554,,,X,125,580,545,-810,65,-83,390,895
O,1494.6989663474046,626.5732199831078,729.5375247374188,,X,,-210,480,545,-810,65,-83,390,895
P,1425.1491150051631,579.5248053362341,601.4149981501957,,X,,-50,485,545,-810,65,-83,390,895
Q,1364.8534719888432,558.3583078991483,519.0616533707725,,,X,85,475,545,-810,65,-83,390,895
K,1361.8461733984495,501.51171471860954,951.853455107455,,X,,-310,250,545,-810,65,-83,390,895
N,1289.6705005543083,420.8432012044391,787.4642849044012,,X,,-120,295,545,-810,65,-83,390,895
M,1214.588407650921,374.638492416356,704.0063920164362,,X,,30,290,545,-810,65,-83,390,895
H,1273.2831578246844,441.8472586765703,1061.5083607772478,,X,,-330,115,545,-810,65,-83,390,895
L,1217.7951387651374,347.4967625748476,888.045606936941,,X,,-150,190,545,-810,65,-83,390,895
J,1092.4513719154734,224.69757453074567,872.3531395025756,,X,,-20,125,545,-810,65,-83,390,895
F,1152.340661436539,382.099463490856,1173.4006136013395,,X,,-315,-43,545,-810,65,-83,390,895
I,1112.0364202668904,261.36947029062134,1008.2286447031745,,X,,-160,50,545,-810,65,-83,390,895
G,997.409143731899,164.4506004853737,1057.745243430572,,X,,-95,-45,545,-810,65,-83,390,895
E,860.0145347608958,135.88230201170424,1151.3144661646531,,X,,-35,-175,545,-810,65,-83,390,895
B,790.2056694304338,236.799493242701,1264.0510274510282,,X,,-50,-290,545,-810,65,-83,390,895
C,720.850192481073,173.1588865753069,1189.7583788316012,,X,,85,-255,545,-810,65,-83,390,895
W1,1224.826518328208,500.4687802450818,532.4002253943926,,X,,255,380,545,-810,65,-83,390,895
W2,1125.0,389.65882512782895,645.155020130821,,X,,230,270,545,-810,65,-83,390,895
W3,1114.9551560488878,456.4252403187186,612.4744892646551,,X,,335,285,545,-810,65,-83,390,895
W4,1010.1980003939822,239.7269279826528,794.638282490845,,X,,175,130,545,-810,65,-83,390,895
W5,998.1232388838565,327.51946507039855,746.7261881037788,,X,,290,155,545,-810,65,-83,390,895
W6,956.1511386804913,372.01344061740565,765.2613932506983,,X,,370,130,545,-810,65,-83,390,895
W7,888.4396434198555,141.8238343861849,919.3068040648889,,X,,180,0,545,-810,65,-83,390,895
W8,888.9460051094217,287.60041724587256,847.8944509784222,,X,,320,50,545,-810,65,-83,390,895
W9,787.4801584801994,317.9213739275798,935.053474406678,,X,,380,-40,545,-810,65,-83,390,895
W10,684.2514157822401,206.37102509800158,1105.915910004011,,X,,235,-200,545,-810,65,-83,390,895
W11,494.8989795907848,378.72681447185647,1278.1725235663612,,X,,300,-380,545,-810,65,-83,390,895
W12,488.72282533149604,443.5414298574599,1230.6502346320826,,X,,430,-335,545,-810,65,-83,390,895
W13,357.0014005574768,515.3532768887766,1421.2670403551895,X,,,330,-525,545,-810,65,-83,390,895
W14,324.2298567374695,567.5508787765199,1396.2897263820284,X,,,450,-500,545,-810,65,-83,390,895
WA15,628.589691293136,400.79171648126663,1426.5430242372643,,X,,10,-480,545,-810,65,-83,390,895
WA16,533.9709729938511,369.42387578498494,1354.6678559706065,,X,,160,-440,545,-810,65,-83,390,895
WA17,546.9232121605372,517.6040958106881,1535.4233943769386,,X,,40,-600,545,-810,65,-83,390,895
WA18,423.14300183271376,500.5486989294848,1472.311108427835,X,,,200,-565,545,-810,65,-83,390,895
WA19,186.01075237738274,685.440734126591,1555.6509891360595,X,,,435,-660,545,-810,65,-83,390,895
